key_index,text,overall
17385,"This Wednesday, beat the cold front @ClintonsTavern with a celebration of George Harrison + The Beatles with Here Comes The Sun! Doors 7:30.",2
9281,"I really want Justin to take a picture with Kendall,Miley,Ariana and Zayn on Sunday",2
7579,Katy perry's last Friday night is the soundtrack to my life and I so wish i was joking,3
16239,ok but louis hasnt been seen with briana since like what march ???? he is never with her and he looks so uncomfortable when interviewers+,1
18961,"Happy Star Wars Day! It's not May 4th, but it feels like Star Wars Day to me!",3
15303,Listening to Kanye West on this tuesday morning was the best idea. And I dont even like Kanye.,3
19636,"Israel: Photo, New 200 Shekel banknote enters circulation tomorrow, the bills will be available at commercial banks https://t.co/u8XEAWsQv4",2
19379,Visiting Mariyln tomorrow with Thor then lunch with nana and Thor! :),3
6963,Prince George's County was not absent on the list of The  Baltimore Sun's 50 Most Beautiful Places in Maryland!!... http://t.co/WKrNIX2Z27,3
19990,"Thank you for the Christmas wishes! May YAHWEH bless and keep you, your family, and the sovereign nation of Israel. #BenjaminNetanyahu",3
4614,"Frank Gifford, dies at 84 - The Washington Post. I worked with Frank way back at Wide World of Sports. Class Act. RIP http://t.co/dMHmFXMegP",2
14379,Getting ready for CHA 2015 Reunion September 26 on campus in Murray. It's also Family Weekend with a football... http://t.co/vaVmFz1GDX,2
16713,Hard to believe this is from January - Charlie Hebdo attacks prove critics were right about Islam https://t.co/SynkKRwodI via tennessean,1
17423,Black Friday by Kendrick Lamar is the filthiest shit I ever heard,1
3757,"@LilMissPrepper @tjemery1 I see. Well, illegal is illegal. On Muslims, you may have meant Islamic extremists. But I make assumptions.",1
13735,5th Round;  Send me a picture of your favorite artist!!  First to 5 points gets a DM with Niall!!  #OTRAMontreal,2
18362,@Kontemplat3 I heard 2chajnz and Wayne is making one and if Kendrick and Cole's drops in Feb. it'll be game over,2
13257,"@jaeladulce im so happy for you,welcome to Islam! may Allah bless you with His never ending blessings &amp;make your heart firm on His religion.",3
19644,So what do you think about Black Friday by Kendrick,2
7910,"Taijuan Walker improved to 9-7 in Sunday's win over the White Sox, though he also surrendered five runs on seven hits over 5 2/3 innings.",2
5014,@WeeIceMon @KesslerTheater @corbydavidson Corby may not acknowledge this because he hasn't been told by Rolling Stone that it's cool.,2
4196,Hey guys...David Price starts for the Blue Jays tomorrow...,2
2852,According to Rolling Stone the Straight Outta Compton OST will not be released August 1st but @drdre will anounce the release Date Saturday.,2
34,Really think @taylorswift13 should have @taylorphelan as a guest for Bad Blood at the show Oct 17 in Dallas,2
10449,"When I say EXO is""GAY""New EXO stans are like,""NOOOO!"" Haha.The term may not be accepted by some new fans,but an old fan knows it very well!",2
4575,Who is ready for Big Brother tonight? Who do you think well be the next one to go? I have heard rumors may Shelly or Vanessa ? any thoughts?,2
11239,Did you know that 'Scott Walker' was Trending Topic on Sunday 30 for 3 hours in Chicago? http://t.co/gjqZJAG4PV #trndnl,2
10616,What even is Kanye west and who gave him a mic? I'll probs wake up tomorrow and he'll still be talking,1
7599,@BasicallyPayne_ @Real_Liam_Payne ok... First thing first.. U gotta know the statement wasn't made by Zayn but management and the sun,2
3622,"Kris Bryant was back in the Cubs' lineup and ready to play before Monday night's rainout in Pittsburgh, but his... http://t.co/3JNx8acOLN",2
15977,Sep 09 - 10:00 AM - Yin Yang Yoga with Andrea 6:30 PM - Hand Drumming Class http://t.co/tpV6ExBzFl,2
4453,"Cyber-squatter accuses Carly Fiorina of wishing she'd laid off 30,000 employees more quickly | PolitiFact http://t.co/KZyFSsVpvx",1
19366,Louis is going to be seen with Briana tomorrow,2
19081,"Will be opening TFI Friday tonight (live @7.30 on 4). on a tandem bike with Chris evans, making motorbike noises on trombone.",2
16569,"Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it",1
14108,"Tom Brady can finally live a little. On Monday, he sat through one last court hearing in Manhattan to decide the fate of his Deflategate",2
7260,"I walked into dunkin donuts in an Eagles shirt and the guy said ""you have a game tomorrow"" and I said ""what"" and then I said...",2
17650,"Bethany Cosentino Wednesday, Amy Schumer tonight. Too bad Tina Fey isn't in town tomorrow!",1
6926,@king_patang the little boy that sat next to us on eid and had the long hair.,2
20279,@adam_booth92 is selling 3 Justin bieber tickets (next to each other) for Manchester on the Sat night for a little over face value. Dm him,2
746,"Celts4Life88: therealbeckman: Some day at the TheOpen today, padraig_h or Paul Dunne to do the business tomorrow! #TheOpen2015 #coybig",2
12052,December is almost here with us. Still no Frank Ocean album. But Boys Don't Cry. They don't give a fuck.,1
6691,Someone get Dunkin with me tomorrow morning.,2
13721,Safety for Kane and the wolves go up 24 to 0 with 257 to go in 1st half over Cameron county. #d9football,2
7137,Was supposed to come up with a filler piece idea before my appointment tomorrow and didn't. Gonna come out looking like Randy Orton. SKULLS!,2
18074,I'm only just hearing Black Friday..... Kendrick u freed me,3
11072,@nikestore  are you going to carry the gucci foamposite that release friday?,2
5698,the Sam Smith concert is Monday and I'm not going...I'm so upset,1
5212,I just listened to Strawberry Swing by Frank Ocean 6 times in a row and I'm working on a 7th,3
586,"Thursday July 23rd is National Hot Dog Day!   What a better way than having one ""All the Way?"" http://t.co/w8Cg8bX53D",3
4030,The ONLY line I will remember tomorrow is John Kasich's dad was a mailman..... Who the hell cares?!?!? @foxnews,1
15735,"Abreu with his 26th of the season. White Sox 4-0, B3.",2
5366,I may be Miss Pennsylvania but she's Miss USA @ on yeet https://t.co/H6FP9ZUras,2
9203,Respect for mother occupies a very high position on the ladder of Islam non can compared in terms of love and care. May Allah help them,3
12210,Is anyone interested in going to the Ed Sheeran concert tomorrow at 7pm? I'm selling one of my tickets :),2
7674,Just heard that Caitlyn Jenner may be charged with Manslaughter after being involved in a fata... http://t.co/NJoH5SADoK via @sickipedia,2
5922,!!!!!!!STRAIGHT OUTTA COMPTON SPOILER!!!!!!!: Ice Cube melts in the sun,2
9390,Is Adele really gonna drop her album in November? Or is she can act like Frank Ocean? Lol,2
2685,"Ooh national girlfriend day on Saturday and there's a fan screening of Paper Towns, what a lucky coincidence",3
16394,@cristo_radio @imaginanter @LBC has said his protest is about the successful operation of terminating IRA operatives on a Sunday,2
17840,I want chris evans arms to kill me https://t.co/OYqSXukOb9,2
13765,LF Hanley Ramirez's season may be over after the Red Sox placed him on the 15-day disabled list Saturday with right shoulder inflammation,2
18583,Even as Congress Vice-President Rahul Gandhi on Monday alleged that he was prevented from entering the Barpeta... https://t.co/moAs7FgcMG,2
5955,well it is the 3rd straight crappy week of Big Brother. Can we just skip ahead to the buy back competition?,1
7207,"Caitlyn Jenner's car accident that killed someone was back in February, so I believe she was still big Brucey at that point",1
13700,@IzPandaface Ohhh! I'm gonna be getting back into it on PS4 on 15th think I should start fresh though as I've not played in ages.,3
6942,"As of August 16, Roman Reigns, Dean Ambrose and Seth Rollins have worked the most matches so far for the year.... http://t.co/H0yErHXX9N",2
3568,A feud with John Cena may be enough to make me interested in Seth Rollins again. There has to be some irony in there.,2
12751,Ed Sheeran catches his first-ever baseball game at Citi Field: The singer smiled with a former high school fri... http://t.co/hPfhcvmJvU,2
11077,kailey just got me into the Ed Sheeran concert on Thursday and im nelenieshuewjshs,2
13548,@IdMjones Jesus. I CREATED? I said Kane may not reach the same heights. You then sent me 3 tweets asking my views on Martial in an attempt,2
7858,"But whatever The Sun says ( well most) come out true  And most media said Zayn will leave, he did  Baby rumours are confirmed by Louis",2
6653,Brock Lesnar must put an end to this.. This dude be sneaking up on people in a dark arena.. Shit.. No one will cut the lights on Sunday,1
13697,"I may be the only one still watching Red Sox games, but that team, with all the hungry young players; is fun to watch! #trade Hanley",3
515,@SI_MaggieGray TKaMB is her favorite book and Atticus is (was) her favorite literary character. I hear Comes a Watchman was the 1st book,3
19872,Been blasting Justin bieber all day to hint to my mother she still has time to go online and buy me tickets to unwrap tomorrow morning...,3
17227,@JuugmanCape Hi May name is Briana nice to meet you sir! Im new and town just wanna meet some people,3
19999,David Bowie makes me want to draw and draw and get lost in a whirlwind of sound and color :D #Saturday #BoxingDay #drawing #DavidBowie,3
13862,"what did you do on saturday? i sawed metal for 5 hours, then watched naruto, and was in bed by 11:30 :' )",3
12617,"greeted this morning to the sight of a boss who shall remain unnamed sat by himself paying bills to Katy Perry's ""The One That Got Away""",3
17431,"People are like, ""Amy Schumer? I don't like her, she's fat.""  And I'm all like Ralphie May is fatter, and I don't... https://t.co/p0euQA7Tww",1
19384,recent google search: how to get clear skin without sacrificing the blood of a newborn babe at twilight under the 1st full moon of the year,2
15354,"People always forget the fact that Shawn achieved so much in the age of 16 like his 1st single, EP and FIRST album ALL went #1 on charts",3
18476,@OGconstant Ay What Did you think of the Black Friday Tracks From Cole and Kendrick?,2
13024,"I really wish the judge of the Tom Brady case would have given me heads up on Sunday, because I skipped on drafting him due to the 4 games.",2
13620,"@Kurtman42 is in town. Deutsche Bank golf tomorrow, Newport RI in the evening and Jays vs. Red Sox Monday &amp; Tuesday. Nice Labor Day weekend.",2
3996,Last Monday on raw Seth Rollins he was talking about John cena nose  #SmackDown,2
3273,Taroor shed tears for Yakub as Yakubs friends in Pakistan may have settled the Taroor &amp; Tarir issue to save him from some embarrassment.,2
14184,"STRAIGHT OUTTA COMPTON: Come for the great first act, stay for Ice Cube writing FRIDAY on his laptop saying ""I'm killing this screenplay!""",2
15312,"Hello Tuesday, I had a nice looooong weekend, now it's time to work. (at @Lowes Home Improvement in Murray, KY) https://t.co/XAimNoODOY",3
17922,"On Tuesday, Congress vice president Rahul Gandhi Hit out at the government over the National Herald case and... https://t.co/GHVPy6KHWF",2
12663,And I just can't wait for these fat old white Christians to talk bad about Muslims this September 11th. Every year. They don't stop.,1
11612,I see Ed Sheeran on that day  https://t.co/QTbHFM6dK6,2
18154,Cate Blanchett leads the winners at the 5th annual AACTA Awards | Daily Mail Online https://t.co/r4M1JzM0BB,3
15635,Ed Sheeran either Jan 30 2013 or Nov 1 2013 the best days of my life https://t.co/crsnvlnnpl,3
8786,as I walk into all my classes tomorrow can someone play the john cena walk on song okay thank you,3
6065,Dustin Johnson doing it again on a major Sunday. Unreal.,3
16425,Stop concentrating on all this Briana drama&amp;concentrate on the fact that THE BOYS 5TH ALBUM COMES OUT IN 4 DAYS #5DaysTillMITAM #OhNoBriana,2
9588,Josh Hamilton' gonna hit a dramatic homer to clinch the second wild card over the Angels https://t.co/kLdpOsQ2M1,3
7652,You know you Gucci &amp; Lauryn hill &amp; a bunch of other ppl are here on September 12 https://t.co/5XbYkf831M,2
9168,What I noticed was that the growth rate of Muslims actually fell by 5% over previous decade. Change coming? https://t.co/VhG5JNuArd,2
5387,It's Thursday so a new Naruto comes on today!...but it's only a filler,2
7092,"Heard on news: ""Caitlyn Jenner may be charged with manslaughter. Experts say her gender won't have any effect on charges"" Seriously? #SMDH",1
14560,"@ARG_AFG @ashrafghani it is requested that pukhtun custom related to Islam are the base of Afghanistan which may kindly not to be ignored,",2
5705,1 and a half hours till im done with dunkin till January!!!!!,2
18104,Retirement moves: Little-known IRA shift may save you money https://t.co/mxP1XKYqfs https://t.co/WQ5CwagWJJ,3
17176,Chris Evans is just absolutely gorgeous! What is your favourite Chris Evans Film? #Beforewegosa 27 November https://t.co/21GG8TK3r7,3
7057,Special Programming Note: Tonight's episode of Big Brother will air at 11:35 p.m. and Under the Dome will air Friday at 11:35 p.m.,2
17881,"And the UFC is fucked up, Why you may ask? Because they are all getting hoed and controled by Dana White",1
12600,Gucci plurality spirit fearlessness january unfurl the bifurcated thine signalizing passageway syndication in ...,2
2784,"@ndtv A Culprit should be punished not matter what the religion may be, but in Yakub's case,",2
20391,"@RT_com @koitousa.  May the world know, that NATO, and especially the USA, UK, Turkey, Saudi Arabia and Israel, are the worst terrorists.",1
13095,@lilyinthefield I'm not going to own something that's not true. Some Muslims may be criminals but that doesn't mean Islam is evil.,2
6612,Anyone want to see Paper Towns on Thursday??,2
17096,That's a scathing attack on Sonia and Rahul Gandhi. Both the fake degrees are proved so far. More power to Shobha ;) https://t.co/OyBrnxsXN0,2
6392,"August 17, 2015 Presidential Candidate Carly Fiorina at the Iowa State Fair... http://t.co/SazyEnc00S",2
5987,I'm in bed body rolling to frank ocean on a Saturday night. Heard the fellas like women with no lives that's why I just tweeted this,2
5012,"14-Aug  The day of independence,  The day of Sacrifices of Muslims, The Victory of Pakistan, I proud to be a... http://t.co/bka2pz2uyD",2
14287,@waynedixon That was an easy one. My ex did Shawn's first 3 albums &amp; he was at my house when I went into labor with my 2nd son. Lol,3
18690,"Rock Calendar 12-15-77: ""Saturday Night Fever"" soundtrack, w/pulsing disco songs from Bee Gees and others, released a day ahead of the movie",2
2835,"@D_J_Harvey I think they may want a guy with back problems. Here, have Ryan Braun!",1
18067,"Thinking about work tomorrow makes me wanna puke haha, but at least I work with briana",2
6969,Conference Call with Special Guest Scott Walker this Saturday!! - http://t.co/zsDpeqRLDK,2
19921,@QUEEN_AHLAAAM As our CS team have explained the last shipping date for delivery to Saudi Arabia was December 3rd,2
12367,the fairest graces spring in hearts that ever sing may Jesus Christ be praised Christians under value the ministry of song in the heart,2
3020,@ShekharGupta Media did sympathize with Yakub n help in producing many young Yakubs in India. But you guys claim u r 4th pillar.bloody shame,1
18373,@ComradeEnver Actually u may be right I am Joe Beggs grandson Who was the founder of the IRA and I was born april20 same B day as hitler hum,2
8943,"@illamaunati Zayn is a star! he never tried to steal the spotlight, but he is like a sun, he can't be overshadowed. The public is with him!",3
18400,21-14 them with 4:14 to go. Milan scampers for one on 4th down.,2
18357,Jennifer Lawrence &amp; Amy Schumer Want to Wear the Same Dior Dress to the Golden Globes: Jennifer Lawrence and friend Amy Schumer may b...,2
10104,"Well, I just got tickets to see Paul McCartney October 22nd. Pretty happy about that.",3
4530,My thoughts and prayers are with my @ProFootballHOF comrade Frank Gifford and his family.  May our #NFL great rest in paradise.,3
1548,Sharknado triple feature tonight...Lavalantula with Police Academy star on Saturday!!!  Scyfy channel is on fire!,3
4977,"Those of you that diss all anime for how Naruto fans were like in the 7th grade, you might want to reevaluate the whovian fandom just sayin.",2
13137,"In the Name of God, I pray for peace to all Muslims, Jews, Christians, world peoples. May all Praise and Glory be to God, forever!",3
13309,if my mom goes t the U.S. open tomorrow without me and Niall is there I will end myself so fast,2
9931,David Wright is not in the Mets starting lineup for Saturday's game against the Red Sox.  #Mets,2
10513,"Tomorrow at work, when people talk to me, I'm just going to slap my crotch and twerk in response. See if I get the same reaction Nicki did.",2
3849,The Voting Rights Act turns 50 on Thursday. A funny thing happened on the way to post-racial nirvana at the polls. http://t.co/BTflqV6YNA,2
15146,@cake_sports Haven't seen it yet. Caught end of Murray loss lights and interview. SVP is that dude though. 1st show.,2
20076,So I got my 1st professional beard trim done at @finleysformen in Plano. Let me tell you there is nothing like it. Curtis is awesome!,3
3048,Ohio Gov. John Kasich is set to round out the Republican presidential field Tuesday when he formally announces his White House bid.,2
10443,Dunkin is the most important one so go there first  https://t.co/M9ag4L8utq,3
2701,"Tomorrow Salman Khan @BeingSalmanKhan will be first one cry on mayyat of Yakub, he must already be on the way to Nagpur",2
8954,"Yeah, Manchester folk love paying for Richard Leese's meal ticket whilst he sucks up to George Osborne. https://t.co/FRQA4nOlSf",2
6845,@DunkinDonuts @DunkinBoston Add on the mobile website too. I've completely lost access to my dunkin cards. So much for a run tomorrow :(,1
19432,". @vouch360 Thank you for the mention, Thor. Happy Monday!",3
16458,Thanks everyone who came and hung out through the challenge! Tomorrow I'm starting my first full playthrough of Dark Souls!,3
3660,Who's going to Zac Brown Band Aug 16th? Trying to decide if I want to go!,2
7733,"Zayn still looks ethereal, the world is still revolving, the sun still shines bright. Nobody cares :) https://t.co/Wdvp0rgUY6",3
7375,David Wright 3-4 with a run scored for St. Lucie tonight. They are trailing 3-2 in the 8th inning.,2
10850,"As the Big Brother season is winding down, the Curling season is about to begin! The 1st ever World's Mixed Championship starts in 12 days!",3
9455,"Floyd Mayweather made $300 million in the year to June '15, far and away the most an athlete has ever earned in a single year",2
10179,I just want someone I can vibe with &amp; most of girls expect Gucci and Michael Kors bags.. C'mon now let me get a real job first.,2
14771,@Jared_Carrabis I though we were playing the 1st place AL East team. Looks like we're playing the Red Sox from right after the all star game,2
8606,"August 25th; Kanye West and Frank Ocean host private listening party, play each other's albums on repeat while laughing at the world",2
6913,Michael Babatunde: Super Eagles midfielder expecting 1st child with wife http://t.co/0Zbvdhjgas,2
6157,can it be Thursday yet? I wanna watch naruto,3
14505,"@imprisonedniall Niall loves you very much and you can see how much he loves you. Dont think that ! Every time you @ him, he may see it :)",3
12631,David de Gea's move to Real Madrid from Manchester United dramatically collapsed on Monday night. PETE JENSON answers the burning,2
17997,AHEAD TO MILAN-VERONA: GAME NR. 31 AT THE SAN SIRO: MILAN - The game between Milan and Verona on Sunday at the... https://t.co/M7PEMOGkoN,2
6865,"gamestop has this deal rn where if you buy a ps3 or Xbox 360, you get 5 free games and I may or may not have picked a Naruto game...",2
13195,"But it was time for Paul Burrell to bid farewell to the Celebrity Big Brother house on Friday night, though in... http://t.co/oVOqN29DOK",3
13176,"Caitlyn Jenner may not be ""down"" with gay marriage, but she should really understand that people are gonna see that as hypocritical.",1
4189,"Seeing Ant-Man tomorrow, flat, it just isn't worth $40 *more* to see it in 3D. We'll just have to use our imaginations.",2
17867,@iwmarrujo @MrGonzalezz Kendrick's 1st record is a top 10-15 album ever imo. 2nd album is when keepin it real goes wrong...,2
3399,Kris Bryant exited the game due to dizziness after sliding head first into 2nd.,2
15658,Somebody should bring me a ice chips ahoy from dunkin donuts tomorrow I'll pay you back,3
9904,"805 pm tonite, 1st time on PTV, I'm on air with U2 &amp; Bruce Springsteen. answering #Sophie's q's about going from doctor to rockstar.Tune in!",3
5683,Scott Walker may just be an idiot,1
7670,Retweet if you want the 3rd world invasion of Muslims and Mexicans into USA stopped &amp; mass Deportations! @DanScavino http://t.co/P9ysWR4GBI,2
4167,"@danawhite McGregor vs Aldo and Rousey vs Tate 3 December 5th, Dallas, TX AT&amp;T Stadium....sound good to you?",2
4665,Remember Frank Gifford teaming with Dandy Don Meredith and Howard Cosell or Monday Night Football. That was CAN'T MISS TV.,3
16887,Currently downloading the Saturday night fever soundtrack CAUSE THE BEE GEES ARE THE FUCKING SHIT,1
19007,"31 games played with Inter and I sit in 5th, 4 points behind city rivals Milan in my final CL spot. 2nd to last game I face them ""away""...",2
16170,Well now all the pre-teen aged girls who were thinking of paying money to go watch Thor or Kong at the movies are going to have 2nd thoughts,1
13572,Happy Saturday! Today we're listening to @Hozier's cover of Sam Smith! Listen to it with us! https://t.co/r6NHwkWIf8,3
20118,"@Neshika_ @JudeanPF I hear you, if I understand correctly, you're saying Israel may have to totally close its border to stop the attacks?",1
4420,"#Rangers Josh Hamilton went 2-for-5 with a run and two RBIs including the go-ahead, eventual game-winner in the 11th. #MLB",2
19289,Turkey to pull troops from Iraq: Turkey announced Saturday it would withdraw its troops from Ira... https://t.co/c9GeSyBBNO ff: gospelgee,2
18403,"Well, @kourtneyleibman may be happy that Thor is hosting SNL, but I'm looking forward to Chance the Rapper.",2
10527,@MBTA happened a few minutes ago.. I believe the bus route was 49... If he went into other Kane's he may have hit firefighters,1
6837,"Holy crap!  watched @JohnCena 's promo when signing the contract to face Seth Rollins. WOW! ""This Sunday, I'm gonna make you mine"" (bitch)",3
8490,"Long weekend, four days of work then Foo Fighters on Sunday. Just to make it to Friday now.",2
15992,Writing's on the Wall by Sam smith will be the Spectre James bond theme coming out September 25th.,2
13081,Was it about Katy Perry? My oldest RTs are all about her. https://t.co/xB43irAV3Z,2
18199,@Swamy39. Will Rahul Gandhi be under oath on 19th ? What is his real name should be the first question. #NationalHeraldCase,1
6562,Isaiah Thomas tweeted that he worked out with Floyd Mayweather on Tuesday.,2
3766,"Oliseh meets with Victor Moses in London: Super Eagles coach, Sunday Oliseh, has met with Nigeria and Chelsea ... http://t.co/pANtMT0FOB",2
3788,@Scxrrr do not get into kpop  u may or may not be able to control urself and the storage in ur phone bc of saving too much pics,2
19829,"@garwboy of course, you can always use the fact that today, Thursday, Thor's day, celebrates another religion, thus apostasy.",2
13358,Man Utd eyed Real Madrid quartet? Arsenal FC star to quit? Rooney ready to make history - Saturday's back pages  http://t.co/OipzAtwjyX,2
17917,Attn athletes: Did you just finish your AM run? We now offer yoga for athletes every Tues at noon with Briana! It's the best recovery.,3
13199,"The Donald on whose on 1st; the Kurds, no the Quds, no, Tom Brady ""yes"", ""...I can talk abt him all day, great guy, fabulous"" #thtsDonald",3
11716,"Getting DFA'd on roster expansion day = baseball's version of Chris Tucker asking Ice Cube in Friday ""How do you get fired on your day off?""",2
15306,"Good morning and happy Tuesday with Tom Brady's ""The Balls Song"" http://t.co/pdWBLNlPJU",3
11003,"Kanye West,did you say this was your ""I want people to LIKE me"" speech? You may need to work on that. Let's start with definition of ""like"".",2
19011,If you haven't heard Black Friday by Kendrick and J Cole I suggest for you to listen to it.,2
3592,"On August 23rd my client Brock Lesnar will stamp the repeat in Eat, Sleep, CONQUER, Repeat! #FACT! @HeymanHustle #RAW",2
16949,"i did not think about david bowie very much today. tomorrow will be different, i promise",2
18033,Also costly if to get the new CD you made a 2nd rollover of IRA money within a 1-year period. Taxable distribution! https://t.co/wJ1zRssF3q,2
6301,@geekyranjit Hi Ranjit! Should I use a screen protector for my Moto G (3rd gen) to avoid scratches even though it has a gorilla glass?,2
13232,Gucci bags conscience private matter december grow up the duplex yours pathognomonic way out accord over again...,2
5439,In honour of Ice Cube I'm smokin 2 blunts and drinking an Old English right before watching the movie Straight Outta Compton tomorrow.,3
4319,@dclondonInc @SeanNobleAZDC  You are right about John Kasich.  He will not be in the top-tier debate again. He debated 1st only in his OH.,2
20120,When you realize that the Twilight 10th Anniversary Edition isn't the same height as the original hardcovers :'(,1
15472,am I the only person that just noticed Floyd Mayweather was fighting this Saturday?,2
10624,Kanye West just announced he's running for president. Tomorrow his ego will be announced as his running mate,2
14181,Kris Bryant breaks-up no hitter in the 5th by hitting a baseball 500 feet off the left field video board. #NBD #Cubs,2
8066,Gucci baggy skin below the eyes khu belief february break the seal the the two your unanalyzable now attainmen...,1
3551,"Again, Shekau absent in new Boko Haram video: The military said on Sunday that it had freed 178 people held ca...  http://t.co/RjqeGvxRyP",1
16398,"also, a musing: i want to dance to david bowie and the soundtrack to saturday night fever. i'd like there to be disco lights",3
13990,Superb interview with Iron Maiden's Bruce Dickinson by @guardianmusic   http://t.co/vhFbCpp6ME?,3
16628,@bfp1974 @therealcliffyb January 7th was the date of the last terrorist attack in Paris on the Charlie Hebdo magazine.,2
11867,.@EndGenocideDan | Attacks against #Rohingya Muslims in Myanmar threaten to escalate ahead of the November poll. http://t.co/wMlcG1Q2Yy,1
12982,Forgot it was Friday. Wearing Tom Brady jersey on Microsoft campus.  Actually going to be murdered.,1
20107,"Israel: ""No comment."" (stick it where the sun doesn't shine)",2
13158,Staver said the group believes the first marriage licenses issued to gay couples on Friday are void and not... http://t.co/R3Nl0A6QZY,2
5454,"Freaked out this morning cause I thought it was Friday. Eomma asked me if I missed something. Naruto, mum. I thought I missed this weeks ep.",2
9648,"Friday night at last! Hi, it's Chris Best with Late Night Love. Relax with some great love songs. This hour, Sam Smith, Ronan, Gabrielle.",3
4070,all the jerks who signed petitions for mercy for Yakub have ensured he doesnt go out for them .. No?  https://t.co/oG3ZSdMwGW,1
17695,"Raffensberger didn't have many Saturday workouts, following the example of Ira Dunsworth. ""Kids need time to be kids"". Sletten didn't either",2
16710,@CarltonBartins...often said Bloody Sunday the biggest recruitment drive for IRA. Multiply that over decades and much larger populations,1
5816,@mewingwang are you going to meet Dean Ambrose at Iplay America on September 5th,2
16231,@TheTwoMikes AND also very importantly it was 40 years ago TODAY that David Bowie had his 1st No1 with Space Oddity!  #40SpaceOddity,3
13159,"Scoreless 1st frame for Salem and Potomac. The Nats ' s with a single, the Red Sox with a walk. 0-0 Top 2nd.",2
53,"By Joe Hemba DAMATURU, Nigeria, July 10 (Reuters) - Boko Haram islamist militants attacked the northern Nigerian town of Buni Yadi in Yobe",1
19837,"#Superdeporte: Giannelli Imbula not impressing at Porto. The Portuguese club may consider a sale. Milan in the front, but also Valencia.",1
17209,"I know you miss me all, but don't fret, I will be back! Thursday 10am CET we will take on Dark Souls once more! Looking forward to it :D",3
11274,"I look over at Matt during SAT class and he's writing ""Kanye West"" over and over in his book",2
7261,"Go watch Ice Cube's music video for ""It Was A Good Day"" and you will see ""Stanley"" from Friday playing basketball with Cube lol",2
7446,Crappity-crap! I'm always away when he comes to town! Paul McCartney to play ACC on Oct. 17 http://t.co/hjtYq8umPW,1
1909,I'll make my friends listening to Calibraska when I back to school on monday #CalibraskaEP,3
